fire_name,fire_year,fire_size_acres,closest_distance_miles,perimeter_points_count,closest_point
Abrams Creek (2),1939,84.05957888604914,355.4447106805452,59,"(35.6103843823673, -83.92029407487551)"
LONGS CAVE (2),1939,1.0480623055027893,471.2455765865598,361,"(37.12502682930597, -86.0796464690565)"
Pole Bridge Branch (6),1940,237.0321147611773,345.8020710464013,4,"(35.469435178456735, -83.90235046338441)"
Hurricane Ridge (2),1940,93.96526626338635,350.0975520729461,28,"(35.52500681811118, -83.78228159421226)"
Rhododendron Branch (2),1940,6.481088962234654,365.7899005631564,7,"(35.71870390032442, -83.39256376775856)"
Cooper Camp Branch (2),1940,5.546975333690522,346.33169848205574,8,"(35.478240931797046, -83.9257118276523)"
Big Fork Ridge (2),1940,4.998056037592612,347.17115592757546,7,"(35.46960555033911, -83.61754848917018)"
Newton Bald (2),1940,4.921732236965003,354.5617991834925,8,"(35.547845179887226, -83.34115762743603)"
Abrams Gap (2),1940,4.834092042276156,353.0623943861909,8,"(35.57837002005095, -83.98312203644431)"
Rich Mountain Gap (2),1940,4.511070749535632,358.2846417984141,7,"(35.64549538920816, -83.80414339503764)"
West Prong (2),1940,4.195340417272913,357.9751452945423,7,"(35.63458284918313, -83.70911462231413)"
Round Mountain (2),1941,1144.205750440604,347.3124055379421,172,"(35.48416760247896, -83.77761315194418)"
Pond Knob (2),1941,178.95992645475914,349.6919830889131,32,"(35.51777443194413, -83.76240590496384)"
Ace Gap (2),1941,79.49346908371108,359.8580496963645,23,"(35.66994466121239, -83.8307618275418)"
Deals Branch (2),1941,35.340848712378765,345.68891173160563,18,"(35.468183425880184, -83.91041687563929)"
Breakfast (2),1941,25.22433357555944,360.2434462410858,20,"(35.66266196469424, -83.64547326834042)"
Tarkiln Ridge (2),1941,23.528142877562782,352.74962993675655,16,"(35.57242658944949, -83.94757157210925)"
Payne Cemetery (2),1941,19.83846309599109,345.52576436157227,16,"(35.46048045520113, -83.81350718438438)"
FURLONG (2),1941,19.213433711994476,471.3086725940279,45,"(37.12902023362379, -86.06359970101653)"
Round Mountain (2),1941,19.038752377247434,349.00810660345775,20,"(35.51029432659812, -83.7999868783536)"
Cheoah (2),1941,14.583040016152838,345.42947614081464,19,"(35.46363954867579, -83.89469957186417)"
Twentymile (2),1941,12.43385110349741,345.62757826395296,13,"(35.46584844993014, -83.88163145551583)"
Ivy Ridge (2),1941,9.56006983821064,351.0856088134258,18,"(35.53900636675576, -83.77652480271033)"
Cades Cove (2),1941,7.758618016595452,355.7203642304711,15,"(35.60607830725259, -83.77085421182808)"
Deep Creek Boundary (2),1941,7.50452620162976,349.3524131682638,7,"(35.481266961055844, -83.42172907568924)"
Tremont (2),1941,6.71640972992801,357.0444405009968,8,"(35.61904764588218, -83.68306999176141)"
Timothy Branch (2),1941,5.7813979197188115,368.4730304708895,7,"(35.753803068892054, -83.35661105434433)"
Gourley Pond (2),1941,5.224789088547146,354.8530499380057,8,"(35.5945490392177, -83.7876691229413)"
Sawmill (2),1941,4.716229846865321,353.222597876087,7,"(35.58066456199221, -83.98226798065696)"
F_D_H_3_5_W14_42 (2),1942,1377.909007321283,346.68839520099414,125,"(35.474769117585325, -83.77289319190449)"
MT STERLIN (2),1942,619.395769193561,367.8031041179636,155,"(35.70863385913276, -83.09924411601611)"
RICH MTN (2),1942,400.07704645817375,358.659931229754,53,"(35.65173619128782, -83.81720102080304)"
C_C_G_H_4_5_W15_42 (2),1942,282.59687389274603,363.3170809746036,42,"(35.631395934745, -83.03149496794869)"
SHAW GRAVE (2),1942,229.84874095252306,347.46513995026635,64,"(35.4960593447411, -83.95680348612012)"
BRICKY (2),1942,173.56990378953094,361.1582989471873,10,"(35.680320220527705, -83.70070534008562)"
N_C_H_5_3_W29_42 (2),1942,101.77226489342158,345.76830338563997,43,"(35.444836520519814, -83.57147572900344)"
FOX BRANCH (2),1942,127.77017226623163,344.58615648245046,20,"(35.44977525099007, -83.8641702394191)"
BASKIN (2),1942,81.02724368506223,364.0407722968258,45,"(35.7038565395885, -83.49128281175031)"
N_C_H_4_3_W21_42 (2),1942,68.89565333518313,347.59223988895894,33,"(35.46656843616107, -83.52220897090726)"
WALKINGSTI (2),1942,29.05285849410783,351.4732998204271,26,"(35.50198997804015, -83.33712815321994)"
BEAR COVE (4),1942,25.429425371851295,362.1043547706715,19,"(35.68972334706512, -83.64465847351765)"
FLAT RIDGE (2),1942,19.487792987359647,352.12878784682766,19,"(35.56520047432122, -83.99376351426412)"
BOCK QUARR (2),1942,14.833568063250054,353.1366936955566,23,"(35.52019413390652, -83.28973773814228)"
xx NONE xx (2),1942,8.91255050226262,345.8124496134868,15,"(35.46968051078484, -83.9042757579686)"
B_C_H_2_3_W6_42 (2),1942,8.618671890968931,347.84532519221085,17,"(35.46260954210561, -83.45141292406136)"
TA_H_5_2_W17_42 (2),1942,6.728736782191914,345.530403946596,10,"(35.46631919152953, -83.91966418371085)"
CHI KNOB (2),1942,4.307103999203997,360.3558686168262,13,"(35.66248142620222, -83.62373957554594)"
W_C_H_4_3_W13_42 (2),1942,3.8127347518737014,360.3321952592531,8,"(35.66956395237225, -83.71807783555808)"
WOLF PIT (2),1942,6.50299746911735,371.1077260054466,10,"(35.77732865422267, -83.23733994992384)"
PARSON (4),1942,3.9191840436803336,347.72086349592314,8,"(35.49917083424714, -83.94254490756431)"
DEVILS (2),1942,2.6033792702352785,352.82016202410176,11,"(35.5419299620816, -83.51182332875618)"
F_D_H_3_5_W14_42 (2),1942,1.9281296586766221,345.4808360715911,9,"(35.460453293902276, -83.82374076217579)"
LAMBERT (2),1942,1.1388885408682616,351.37122710341947,11,"(35.49844889635949, -83.3213741452883)"
GB_H_4_3_W4_43 (2),1943,86.38236818963364,364.2079215694812,24,"(35.718264030088584, -83.6191166760377)"
VEE HOLLOW (4),1943,84.90890325450374,360.6318759585836,46,"(35.67354000456631, -83.71273444525252)"
TUNIS RIDG (2),1943,15.794522574257396,367.69446186582803,24,"(35.742156733180124, -83.35466717497981)"
RUSH RIDGE (2),1943,5.740592768529347,359.8443239834687,12,"(35.662869707460786, -83.72377337373229)"
WHITE OAK (2),1943,5.394811539363369,365.5192268396974,8,"(35.66810717885384, -83.05655250641863)"
TSK_H_3_2_W8_43 (2),1943,3.441026439858402,348.31275391293224,8,"(35.49234431653338, -83.68985161095779)"
GB_H_4_2_W3_43 (2),1943,3.1643384668025734,363.9344107119961,12,"(35.70411499811572, -83.50920351876609)"
SHELL BRAN (2),1943,2.3064161236774394,359.27692843519463,9,"(35.66151873180809, -83.83117653669662)"
W_C_H_9_2_W7_43 (2),1943,1.6131183261535924,362.70608662783934,9,"(35.69998168228337, -83.66312505571413)"
FRED LOCK (2),1943,1.529348445889087,348.8774858192723,11,"(35.504438402150726, -83.74126525380598)"
K_S_H_9_5_W4_44 (2),1944,847.9852065334154,360.8578908407273,98,"(35.68439018805345, -83.82914279118712)"
ROUND TOP (2),1944,232.11289671537935,361.6958685318806,36,"(35.6857715024147, -83.66960219972854)"
B_B_H_2_3_W7_44 (2),1944,88.35393880554801,356.9257706494148,33,"(35.56909080077243, -83.23998962956196)"
W_C_H_5_2_W1_44 (2),1944,28.595361125267615,360.29813858707246,16,"(35.669466543574835, -83.7236210099832)"
GB_H_8_2_W3_44 (2),1944,10.966464947477132,364.0402554744592,14,"(35.70773756579054, -83.53028198222579)"
GB_H_9_2_W5_44 (2),1944,8.658602254766683,363.7445402347753,13,"(35.70524278168476, -83.54932550132486)"
FINE MTN (2),1944,2.236354181779394,355.3330051614766,9,"(35.6089454749322, -83.92437396145732)"
GB_H_5_4_W13_45 (2),1945,204.7654371569536,363.5339587388702,38,"(35.707498647258916, -83.60819556279502)"
TA_H_5_4_W17_45 (2),1945,114.39464613437205,346.5898628278629,9,"(35.482303207517084, -83.93259010280006)"
ROUND MTN (2),1945,34.71050437177924,370.3914244302189,13,"(35.76634366458826, -83.2339809928737)"
BEARS COVE (2),1945,22.97202217927039,362.49700271121316,23,"(35.69540174763345, -83.6441031742403)"
RUSH RIDGE (2),1945,19.342436896279136,360.25559528536616,15,"(35.66857458596778, -83.71982460430496)"
SHEEPBUCK (2),1945,10.577458063625471,356.9400774074609,13,"(35.552322407250415, -83.12556028772582)"
JC_H_3_1_W9_45 (2),1945,7.595228611926384,368.43359714291427,14,"(35.754460752010694, -83.3670245840041)"
NO NAME (2),1945,8.40161885487073,371.8809140797704,23,"(35.782554683339356, -83.19266044687564)"
FIGHTING (2),1945,5.100328376460755,362.0672608512165,11,"(35.68078935989085, -83.54973209372002)"
DOC CONNER (2),1945,3.2415823663187,356.5610859728306,11,"(35.575549288379484, -83.32822618768508)"
WONDERLAND (2),1945,1.2474657052037958,360.70435944804007,11,"(35.66472729166663, -83.5912704687237)"
MCGEE (2),1946,31.264799136565202,354.1983349826687,27,"(35.54053990682483, -83.32575501044164)"
S_B_H_2_2_W7_46 (2),1946,14.466119835725575,351.3716943416865,22,"(35.53107827038713, -83.61962493022601)"
B HARRISON (2),1946,10.020682803289144,360.61802171117375,13,"(35.67312941001379, -83.7098786885738)"
M_LC_H_4_2_W1_46 (2),1946,8.664809773701851,365.1818190961586,23,"(35.71998409975474, -83.48588839469139)"
W_C_H_5_2_W8_46 (2),1946,5.62051996936953,359.1285388167966,20,"(35.65346383111566, -83.7381386810465)"
GB_H_3_2_W4_46 (2),1946,2.413562848076231,361.65869183507186,10,"(35.67645428922393, -83.5671120493843)"
CW_H_3_2_W2_46 (2),1946,2.3146505745589594,347.9015941166884,8,"(35.50311187953388, -83.97465696855518)"
W_C_H_5_2_W10_46 (2),1946,2.0288358403880054,361.18318316102346,8,"(35.68127199454549, -83.70867887924908)"
W_C_H_3_2_W6_47 (2),1947,14.736384829856133,361.2712854265037,16,"(35.68266085034009, -83.71012327433336)"
COVE MTN (2),1947,7.170059643068463,362.62934665119644,14,"(35.69527047834518, -83.61943801148772)"
W_C_H_5_2_W8_47 (2),1947,6.830875842709337,362.92397956731855,12,"(35.700562303954115, -83.63123498320971)"
PANTHER (2),1947,6.660261904337666,349.68988665623726,11,"(35.52722775379179, -83.93015095157288)"
CURRY GAP (2),1947,3.416823861667447,359.81266889990263,11,"(35.65556016238524, -83.63557677788734)"
F_D_H_1_2_NW2_47 (2),1947,3.1733572277146442,346.5255636733782,9,"(35.47565915693859, -83.82391644991293)"
W_C_H_4_3_W2_48 (2),1948,143.86387620596074,361.6155181106886,37,"(35.68579860857182, -83.68504869718323)"
TSK_H_2_3_W6_48 (2),1948,51.29673134873535,344.52519516213613,33,"(35.43476694008718, -83.66082263300724)"
LAUREL (2),1948,4.645298769343068,355.22114174987195,13,"(35.59791180824186, -83.7573917679843)"
TSK_H_3_2_W8_48 (2),1948,3.8483328184631427,347.39399308186233,10,"(35.479030276596866, -83.6907985576106)"
CANE CREEK (2),1948,2.6443438859489437,358.0900334302057,9,"(35.64691042867315, -83.88041125191344)"
HESSE CREE (2),1948,2.6278689928575085,358.6904936186675,9,"(35.65373790910582, -83.84445668058306)"
GB_H_4_2_W5_48 (2),1948,2.5603387207244785,363.98664610427744,12,"(35.70473992075732, -83.50781998416493)"
PAWPAW (2),1948,2.087845621751527,350.3847501325455,10,"(35.52552203958888, -83.72929102089608)"
SHELL (2),1948,1.4398202513281202,358.9775593512223,7,"(35.65750539770281, -83.83717245268305)"
K_S_H_2_2_W1_48 (2),1948,1.0505958681366654,360.1858762445261,9,"(35.674515928851264, -83.82734232276718)"
GB_H_4_2_W5_49 (2),1949,9.4339566643651,363.7420978524063,15,"(35.703575659007, -83.53227505530435)"
NOLAND (2),1949,3.205336598084489,364.67058283865725,10,"(35.65948224323798, -83.08093643809154)"
W_C_H_3_2_W9_49 (2),1949,2.5066256082481106,360.12963729162453,9,"(35.666775544450545, -83.72031131842435)"
W_C_H_5_2_W5_49 (2),1949,1.4707446096299144,361.56091007528795,10,"(35.685383907818526, -83.69004865105151)"
GRAPE YARD (2),1949,1.0773042342306027,365.32454016365,7,"(35.71618794121157, -83.43065776620315)"
COSBY CREE (2),1950,15.806911829011316,371.63620301540936,12,"(35.78219868834875, -83.2160128230664)"
BAXTER (2),1950,1.7905239200633496,369.3926383330324,9,"(35.7578537949006, -83.2807022793206)"
H RIDGE RD (2),1950,0.7436564637417322,355.6659768136462,9,"(35.540184553175756, -83.16891353803628)"
PROCTOR (2),1951,49.38548023206981,352.3383047376128,28,"(35.543615760959156, -83.60207090181095)"
ROLAND CRE (2),1952,288.85731137712827,349.1946764225339,72,"(35.48752464761064, -83.4985311468055)"
PANTHER (2),1952,236.69495382647338,350.0123729406331,48,"(35.534427455662005, -83.99250814765493)"
PILKEY (2),1952,70.48977196397281,344.7934503376583,26,"(35.440045962006536, -83.67733645465849)"
PEACHTREE (4),1952,59.815594131661,346.8849946147597,8,"(35.45196497748153, -83.48209745595659)"
ROLAND CRE (2),1952,8.083508071024307,345.6393548796143,15,"(35.43880587961732, -83.52986386375265)"
ABRAMS MTN (2),1952,8.047117865919024,637.2489802435531,16,"(38.410380089307274, -78.5436261193899)"
CHILHOWEE (2),1952,4.490113900304182,348.99793320892155,9,"(35.51955732505649, -83.9886215124223)"
ADAMA CREE (2),1952,4.126143394638379,351.7651080292071,14,"(35.50743613801703, -83.34622500745034)"
SUNKATA 2 (2),1952,3.9990086709994723,350.479976365144,21,"(35.49685298099262, -83.41374735454387)"
POPLAR POL (2),1952,3.9613903467169007,344.9802905289912,13,"(35.43654137463616, -83.60553557438051)"
KIRKLAND (2),1952,3.8842783329252404,345.50089668539783,8,"(35.44683610815699, -83.6356200075272)"
RUSH BRANC (2),1952,5.185254040890968,359.9297205685953,9,"(35.663953707740454, -83.72155069691581)"
SUNKATA (2),1952,2.4203175325336286,350.01637063058376,13,"(35.49033162492788, -83.41606353391623)"
MINGUS (2),1952,1.8581040597718061,352.88006275709876,10,"(35.5189326413465, -83.30856593762755)"
NIGGER KIL (2),1952,1.6988400541095439,346.2786405098259,8,"(35.47742577332233, -83.92474623371578)"
MEADOW (2),1952,1.4959142599493511,359.11258711648725,8,"(35.65164821459923, -83.71592995857765)"
FIGHTING (2),1952,1.412842128736929,362.1704040392434,9,"(35.682181417898704, -83.54853088464098)"
LAUREL (2),1953,86.60974523964379,364.1770546657089,29,"(35.643934444525684, -83.03033708767917)"
COLD SPRIN (2),1953,77.01499589918636,616.3077100810019,44,"(38.1754519352933, -78.79322974345142)"
CALF MTN (2),1953,14.244201336345943,610.467132439978,53,"(38.07848249468351, -78.79934022104614)"
MATT WELCH (2),1953,12.109771666843002,344.2468251898037,16,"(35.42976204106682, -83.64968818948091)"
PINE MTN (2),1953,1.4148454319139372,345.2249430893003,9,"(35.4582159102475, -83.84902127556978)"
WORLEY KNO (2),1953,1.1583372090255883,348.08283586363774,10,"(35.462646313604694, -83.42158611194475)"
LITTLE RDT (2),1953,1.0593752871438418,360.4193460076896,8,"(35.66969124846602, -83.70250398911135)"
CEDAR HILL (2),1954,29.11742105206306,470.745194505178,48,"(37.11965832007502, -86.06868222006061)"
B_C_H_3_3_W1_54 (2),1954,20.027907926187325,349.45765718813385,10,"(35.4793245542242, -83.39247817618941)"
B_C_H_3_2_W3_54 (2),1954,3.14369761193738,348.071311685653,9,"(35.46493027979899, -83.44273007806169)"
Noland Divide (6),1955,542.0114647460427,348.6971415213386,25,"(35.47710691938434, -83.46953346987725)"
Calderwood (2),1955,227.19222743294537,346.98264220244187,37,"(35.49016332002451, -83.98505370484528)"
Little Peachtree (2),1955,94.90536471270505,346.5183945291362,14,"(35.447685578467194, -83.49209338451915)"
Cosby Creek (2),1955,72.14369931902986,371.7415406947806,24,"(35.78412854692496, -83.2187863886355)"
WigWat Cemetery (2),1955,25.784896446027652,348.24310092555066,13,"(35.46454740119127, -83.41778609484012)"
Ellis Butt (2),1956,136.18226197176082,358.79158487310565,28,"(35.657665919503614, -83.8917155967436)"
Upper Sassafras Gap (2),1956,47.482182971264955,352.2776451230449,33,"(35.529019373006975, -83.46506445830536)"
Abrams (2),1956,32.68756379173862,351.4232930072513,27,"(35.555014037627174, -83.99535395329828)"
Low Gap (2),1956,7.181457505268268,368.8385296974695,11,"(35.73692208375639, -83.18669906908549)"
Happy Valley (2),1957,7.611584672112808,355.17895399924043,10,"(35.60746801716822, -83.94181328649034)"
Revenue Hill (2),1958,4.864194347612084,348.1783118864669,8,"(35.5063322209217, -83.95474829964579)"
Whiteoak Mountain (2),1959,6.866808744518841,347.6208098627997,8,"(35.49760287106244, -83.93990743618217)"
Whiteoak Mountain (2),1959,3.428416532408342,365.842667609163,8,"(35.67195790887514, -83.05081652730665)"
GB_W12_60 (2),1960,47.82075356176063,363.7561802914465,19,"(35.71094992813102, -83.61062812875223)"
RICH GAP (2),1960,15.551174662767215,358.3485642133106,17,"(35.64639726671455, -83.803685488513)"
SALLY (2),1960,2.3411965210606738,352.3357882632389,16,"(35.50837558652035, -83.28940820452517)"
DAY MARK 4 (2),1960,2.0746157311576177,346.41916988106675,7,"(35.46729298805322, -83.72286810779983)"
W_C_H_4_3_W1_61 (2),1961,28.69390022589294,360.6593674898262,20,"(35.67406130361287, -83.71439559812377)"
FALL BRANC (2),1961,13.973043697312796,359.3685091687141,24,"(35.65668223313671, -83.73420925100069)"
WORLEY KNO (2),1961,6.655654784644092,347.835935252579,21,"(35.45861129121038, -83.41804980244987)"
CW_H_4_2_W12_61 (2),1961,6.387265409116135,355.1768048304623,11,"(35.60754408230021, -83.94435400687436)"
FOOTHILLS (2),1961,1.527601438852378,359.6280267318899,7,"(35.67033904844092, -83.90254656277045)"
CHESTNUT (2),1962,35.20257454524206,351.98893774322727,39,"(35.54444097023928, -83.67130387452825)"
ROUND TOP (2),1963,12.748582579794611,362.00319093736664,21,"(35.68975131691307, -83.66328913582304)"
LODGE BALD (2),1964,28.468121417707913,361.8943220380052,20,"(35.63575791525034, -83.19441013993304)"
JOLLETT 4 (2),1964,6.0661921738339135,641.671987495431,37,"(38.46245323888571, -78.49579981740312)"
BERRY (2),1964,0.06910196344619575,649.2768539019914,25,"(38.51044298224104, -78.33143625684413)"
HF_W13_65 (2),1965,29.90251148046571,370.91009947407446,24,"(35.776231873843415, -83.25085311019272)"
W_C_H_3_3_W10_65 (2),1965,11.047444041327319,361.9500632589952,20,"(35.69011208834528, -83.67776496521232)"
ABRAMS MTN (2),1965,3.9782418134748907,638.1279167007049,37,"(38.41649241486391, -78.5256522536004)"
COOPER CRK (2),1965,2.831538132174256,351.5085737940354,14,"(35.50448421641519, -83.3526497586191)"
SANDY BOTT (2),1965,1.9894917821887914,632.9632933748024,37,"(38.34992872321968, -78.56995054069573)"
LEWIS PEAK (2),1965,0.24882120880443995,624.331962975093,37,"(38.2841337612362, -78.73544602772827)"
ROUTE 663 (2),1965,0.09948508319008406,621.5379578360353,37,"(38.26140626652264, -78.7864462544906)"
JAGGERS FIRE (2),1966,12.781394650701294,481.88495966187844,31,"(37.25545705823824, -86.22430711542255)"
SELLS (2),1966,12.242044415072169,476.27050934321784,173,"(37.21095718380454, -86.02017587571527)"
JACK H (2),1966,4.972633692741457,642.6421012140274,37,"(38.51406086997153, -78.56648067897618)"
CROW (2),1966,2.808148924929292,637.844296087616,35,"(38.411997190671265, -78.5264083998817)"
SELLS (2),1966,1.941470576525901,475.4512303901332,25,"(37.19435944233549, -86.04415001361998)"
BIBLE CK (4),1967,490.6976610821416,348.43669254149813,46,"(35.50754201145236, -83.89873392701182)"
PINEY (2),1967,13.924352234104818,638.0512644164163,37,"(38.41958282249196, -78.53446676868809)"
BASKINS (2),1967,11.043775682292704,364.1507332529966,24,"(35.70614221829906, -83.49793902192944)"
BIG UGLY (2),1967,0.4798891951390382,637.8642974708594,22,"(38.41352391857889, -78.52877170434829)"
OAK TREE (2),1967,0.09945682809366019,644.4791812807613,37,"(38.488165677947954, -78.4507953995299)"
ELLIS BUTT (2),1968,9.318865592795136,358.5733751913619,14,"(35.654632524540084, -83.89454021292026)"
OLD QUARRY (2),1968,8.964676452278786,347.5984875643826,15,"(35.49723119160608, -83.93882284373018)"
LEWIS FALL (4),1968,4.994076363123564,646.3528470223433,34,"(38.52280026931084, -78.45563424509056)"
SWIFT RUN (4),1968,1.0940060455470138,634.4715779344281,37,"(38.346987972627296, -78.5125950776654)"
MOORMAN (2),1968,0.24881862194787543,616.5278899028648,37,"(38.15715706207599, -78.74872011903066)"
