participant_id,survey_type,age,gender,race,zip_code,education_level,income
Participant 1046,online,54.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$25,000 or less"
Participant 1047,online,49.0,A man,White / Caucasian,83402.0,"Some college, no degree","$100,000 or more"
Participant 1048,online,29.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$25,000 to $49,999"
Participant 1049,online,55.0,A man,White / Caucasian,83616.0,"Some college, no degree","$100,000 or more"
Participant 105,in_person,20.0,A man,White / Caucasian,83646.0,,"$100,000 or more"
Participant 105,online,25.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$25,000 to $49,999"
Participant 1050,online,47.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$50,000 to $74,999"
Participant 1051,online,63.0,A woman,White / Caucasian,83703.0,"Some college, no degree","$25,000 to $49,999"
Participant 1052,online,50.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$50,000 to $74,999"
Participant 1053,online,28.0,A woman,White / Caucasian,83712.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1054,online,30.0,A woman,White / Caucasian,83646.0,"Some college, no degree","$25,000 to $49,999"
Participant 1055,online,35.0,A man,White / Caucasian,83706.0,Associates degree,"$100,000 or more"
Participant 1056,online,74.0,A man,White / Caucasian,83704.0,"Some college, no degree","$50,000 to $74,999"
Participant 1057,online,26.0,A woman,Hispanic or Latino,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1058,online,64.0,Other,,83706.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1059,online,20.0,A man,White / Caucasian,83706.0,8th grade or less,"$25,000 or less"
Participant 106,in_person,49.0,A man,White / Caucasian,83703.0,Master’s degree,"$25,000 to $49,999"
Participant 106,online,39.0,A man,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1060,online,53.0,A woman,White / Caucasian,83702.0,"Some college, no degree","$75,000 to $99,999"
Participant 1061,online,37.0,A man,White / Caucasian,83709.0,"Some college, no degree","$100,000 or more"
Participant 1062,online,17.0,A woman,White / Caucasian,83642.0,8th grade or less,"$50,000 to $74,999"
Participant 1063,online,62.0,A woman,White / Caucasian,83703.0,"Some college, no degree","$50,000 to $74,999"
Participant 1064,online,20.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1065,online,44.0,A man,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1066,online,64.0,A woman,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1067,online,38.0,A man,White / Caucasian,83702.0,"Some college, no degree","$100,000 or more"
Participant 1068,online,34.0,A woman,White / Caucasian,83706.0,8th grade or less,"$25,000 or less"
Participant 1069,online,21.0,A woman,White / Caucasian,83702.0,"Some high school, no diploma","$25,000 or less"
Participant 107,in_person,27.0,A man,White / Caucasian,83642.0,Bachelor’s degree,"$100,000 or more"
Participant 107,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$50,000 to $74,999"
Participant 1070,online,21.0,A woman,White / Caucasian,83702.0,"Some high school, no diploma","$25,000 or less"
Participant 1071,online,39.0,A man,White / Caucasian,84627.0,Associates degree,"$50,000 to $74,999"
Participant 1072,online,41.0,A woman,Hispanic or Latino,83704.0,"Some college, no degree","$25,000 to $49,999"
Participant 1073,online,27.0,A woman,White / Caucasian,83702.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1074,online,20.0,A woman,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1075,online,41.0,A woman,White / Caucasian,83647.0,"Some college, no degree","$75,000 to $99,999"
Participant 1076,online,49.0,A man,White / Caucasian,83712.0,"Some college, no degree","$100,000 or more"
Participant 1077,online,55.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$100,000 or more"
Participant 1078,online,,A woman,White / Caucasian,83702.0,"Some college, no degree","$50,000 to $74,999"
Participant 1079,online,22.0,A man,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 108,in_person,54.0,A woman,White / Caucasian,83714.0,"High school graduate, diploma or GED","$50,000 to $74,999"
Participant 108,online,22.0,A woman,Hispanic or Latino,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1080,online,51.0,A woman,White / Caucasian,83716.0,"Some college, no degree","$100,000 or more"
Participant 1081,online,64.0,A woman,White / Caucasian,83714.0,"Some college, no degree","$25,000 to $49,999"
Participant 1082,online,47.0,A woman,White / Caucasian,83704.0,"Some college, no degree","$50,000 to $74,999"
Participant 1083,online,34.0,A man,Hispanic or Latino,83607.0,"Some college, no degree","$50,000 to $74,999"
Participant 1084,online,41.0,A man,White / Caucasian,83716.0,"Some college, no degree","$75,000 to $99,999"
Participant 1085,online,25.0,A woman,Black or African American,83704.0,"Some college, no degree","$25,000 to $49,999"
Participant 1086,online,23.0,A man,White / Caucasian,83712.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1087,online,20.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1088,online,20.0,A woman,White / Caucasian,83706.0,8th grade or less,"$25,000 or less"
Participant 1089,online,67.0,A woman,White / Caucasian,83706.0,Associates degree,"$25,000 to $49,999"
Participant 109,in_person,29.0,A woman,White / Caucasian,83642.0,"Some college, no degree","$100,000 or more"
Participant 109,online,26.0,A woman,Asian / Pacific Islander,83713.0,"Some college, no degree","$50,000 to $74,999"
Participant 1090,online,40.0,A woman,White / Caucasian,83702.0,"Some high school, no diploma","$100,000 or more"
Participant 1091,online,26.0,A man,White / Caucasian,83714.0,"Some high school, no diploma","$25,000 or less"
Participant 1092,online,44.0,A man,Hispanic or Latino,83703.0,Associates degree,"$25,000 to $49,999"
Participant 1093,online,38.0,A man,White / Caucasian,83709.0,"Some college, no degree","$100,000 or more"
Participant 1094,online,40.0,A woman,Hispanic or Latino,83706.0,Associates degree,"$50,000 to $74,999"
Participant 1095,online,55.0,A man,White / Caucasian,83713.0,"Some college, no degree",
Participant 1096,online,25.0,A woman,White / Caucasian,83642.0,8th grade or less,"$25,000 to $49,999"
Participant 1097,online,23.0,A man,White / Caucasian,83712.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1098,online,44.0,A man,White / Caucasian,83709.0,"Some college, no degree","$75,000 to $99,999"
Participant 1099,online,49.0,A woman,Hispanic or Latino,83702.0,"Some college, no degree","$100,000 or more"
Participant 11,in_person,40.0,A woman,White / Caucasian,83703.0,"High school graduate, diploma or GED","$50,000 to $74,999"
Participant 11,online,57.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$25,000 to $49,999"
Participant 110,in_person,23.0,A woman,,83605.0,Bachelor’s degree,"$50,000 to $74,999"
Participant 110,online,39.0,A woman,White / Caucasian,83709.0,"Some college, no degree","$100,000 or more"
Participant 1100,online,20.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$50,000 to $74,999"
Participant 1101,online,24.0,A woman,White / Caucasian,83706.0,"High school graduate, diploma or GED","$50,000 to $74,999"
Participant 1102,online,19.0,A woman,White / Caucasian,83706.0,8th grade or less,"$25,000 or less"
Participant 1103,online,44.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$100,000 or more"
Participant 1104,online,60.0,A woman,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1105,online,66.0,A woman,White / Caucasian,83686.0,"Some college, no degree","$25,000 to $49,999"
Participant 1106,online,20.0,A man,Hispanic or Latino,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1107,online,28.0,A woman,White / Caucasian,83705.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1108,online,57.0,A woman,White / Caucasian,83686.0,"Some college, no degree","$50,000 to $74,999"
Participant 1109,online,37.0,A man,White / Caucasian,83706.0,Associates degree,"$50,000 to $74,999"
Participant 111,in_person,45.0,A woman,White / Caucasian,83713.0,"Some college, no degree","$100,000 or more"
Participant 111,online,25.0,A woman,White / Caucasian,83642.0,"Some college, no degree","$50,000 to $74,999"
Participant 1110,online,56.0,A woman,White / Caucasian,83716.0,"Some college, no degree","$100,000 or more"
Participant 1111,online,20.0,A woman,White / Caucasian,83617.0,"Some high school, no diploma","$100,000 or more"
Participant 1112,online,24.0,A woman,White / Caucasian,83706.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1113,online,43.0,A woman,White / Caucasian,83704.0,Associates degree,"$75,000 to $99,999"
Participant 1114,online,23.0,Other,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1115,online,46.0,A woman,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1116,online,47.0,A woman,White / Caucasian,83716.0,Associates degree,"$75,000 to $99,999"
Participant 1117,online,24.0,A man,White / Caucasian,83705.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1118,online,33.0,A man,,83706.0,"Some college, no degree","$25,000 to $49,999"
Participant 1119,online,21.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 112,in_person,23.0,A man,,83605.0,"Some college, no degree","$50,000 to $74,999"
Participant 112,online,60.0,A woman,White / Caucasian,83079.0,"Some college, no degree","$50,000 to $74,999"
Participant 1120,online,18.0,A woman,White / Caucasian,83725.0,8th grade or less,"$25,000 or less"
Participant 1121,online,57.0,A man,White / Caucasian,83646.0,"Some college, no degree","$50,000 to $74,999"
Participant 1122,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$75,000 to $99,999"
Participant 1123,online,26.0,A man,White / Caucasian,83706.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1124,online,25.0,A man,Hispanic or Latino,83705.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1125,online,59.0,A man,White / Caucasian,83712.0,"Some college, no degree","$50,000 to $74,999"
Participant 1126,online,19.0,A woman,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1127,online,42.0,A woman,White / Caucasian,83669.0,"Some high school, no diploma","$75,000 to $99,999"
Participant 1128,online,23.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1129,online,24.0,A woman,White / Caucasian,83704.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 113,in_person,32.0,A man,White / Caucasian,83712.0,Bachelor’s degree,"$25,000 to $49,999"
Participant 113,online,28.0,A woman,White / Caucasian,97914.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1130,online,58.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$50,000 to $74,999"
Participant 1131,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$50,000 to $74,999"
Participant 1132,online,36.0,A man,White / Caucasian,83705.0,"Some college, no degree","$50,000 to $74,999"
Participant 1133,online,22.0,A man,White / Caucasian,83703.0,"Some high school, no diploma","$25,000 or less"
Participant 1134,online,18.0,A man,White / Caucasian,83706.0,8th grade or less,"$25,000 to $49,999"
Participant 1135,online,46.0,A woman,White / Caucasian,83646.0,"Some college, no degree","$100,000 or more"
Participant 1136,online,38.0,A man,White / Caucasian,83705.0,"Some college, no degree","$100,000 or more"
Participant 1137,online,54.0,A woman,Asian / Pacific Islander,83706.0,Associates degree,"$50,000 to $74,999"
Participant 1138,online,29.0,A woman,White / Caucasian,83709.0,"Some college, no degree","$25,000 to $49,999"
Participant 1139,online,,,,,,
Participant 114,in_person,28.0,A man,White / Caucasian,83706.0,Bachelor’s degree,"$100,000 or more"
Participant 114,online,45.0,A woman,White / Caucasian,83646.0,Associates degree,"$75,000 to $99,999"
Participant 1140,online,20.0,A woman,Native American / American Indian or Alaskan Native,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1141,online,19.0,A woman,White / Caucasian,83706.0,8th grade or less,"$75,000 to $99,999"
Participant 1142,online,41.0,A man,White / Caucasian,83646.0,Associates degree,"$75,000 to $99,999"
Participant 1143,online,44.0,A woman,White / Caucasian,83714.0,Associates degree,"$50,000 to $74,999"
Participant 1144,online,62.0,A woman,White / Caucasian,83716.0,"Some college, no degree","$100,000 or more"
Participant 1145,online,46.0,A man,White / Caucasian,,Associates degree,"$100,000 or more"
Participant 1146,online,51.0,A man,White / Caucasian,83716.0,Associates degree,"$100,000 or more"
Participant 1147,online,23.0,A woman,White / Caucasian,83704.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1148,online,37.0,A woman,Hispanic or Latino,83702.0,"Some college, no degree","$100,000 or more"
Participant 1149,online,63.0,A woman,White / Caucasian,83714.0,"Some college, no degree","$100,000 or more"
Participant 115,in_person,48.0,A man,White / Caucasian,83713.0,Master’s degree,"$100,000 or more"
Participant 115,online,20.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1150,online,44.0,A woman,White / Caucasian,83646.0,"Some college, no degree","$25,000 to $49,999"
Participant 1151,online,33.0,A man,White / Caucasian,83702.0,Associates degree,"$50,000 to $74,999"
Participant 1152,online,19.0,A man,White / Caucasian,83706.0,8th grade or less,"$50,000 to $74,999"
Participant 1153,online,34.0,A man,White / Caucasian,83703.0,"Some high school, no diploma","$25,000 or less"
Participant 1154,online,18.0,A man,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1155,online,30.0,A man,White / Caucasian,83709.0,"Some college, no degree","$75,000 to $99,999"
Participant 1156,online,28.0,A man,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1157,online,64.0,A woman,White / Caucasian,83702.0,Associates degree,"$75,000 to $99,999"
Participant 1158,online,68.0,A woman,White / Caucasian,83714.0,Associates degree,"$75,000 to $99,999"
Participant 1159,online,39.0,A woman,White / Caucasian,83716.0,"Some college, no degree","$75,000 to $99,999"
Participant 116,in_person,20.0,A man,White / Caucasian,83704.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 116,online,31.0,A man,White / Caucasian,83704.0,8th grade or less,"$75,000 to $99,999"
Participant 1160,online,20.0,A woman,White / Caucasian,83704.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1161,online,55.0,A man,White / Caucasian,83616.0,"Some college, no degree","$75,000 to $99,999"
Participant 1162,online,22.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1163,online,60.0,A woman,White / Caucasian,83709.0,"Some college, no degree","$25,000 to $49,999"
Participant 1164,online,56.0,A man,White / Caucasian,83716.0,Associates degree,"$100,000 or more"
Participant 1165,online,44.0,A woman,,83712.0,Associates degree,"$100,000 or more"
Participant 1166,online,36.0,A man,,83705.0,Associates degree,"$25,000 or less"
Participant 1167,online,44.0,A woman,White / Caucasian,83642.0,"Some college, no degree","$100,000 or more"
Participant 1168,online,40.0,A woman,White / Caucasian,,Associates degree,"$100,000 or more"
Participant 1169,online,48.0,A man,White / Caucasian,83712.0,Associates degree,"$100,000 or more"
Participant 117,in_person,22.0,A woman,White / Caucasian,83702.0,Bachelor’s degree,"$25,000 to $49,999"
Participant 117,online,58.0,A woman,,83706.0,"Some college, no degree","$100,000 or more"
Participant 1170,online,49.0,A woman,White / Caucasian,83703.0,Associates degree,"$100,000 or more"
Participant 1171,online,34.0,A man,White / Caucasian,83705.0,"Some college, no degree","$75,000 to $99,999"
Participant 1172,online,65.0,A man,White / Caucasian,83686.0,"Some college, no degree","$75,000 to $99,999"
Participant 1173,online,19.0,A woman,White / Caucasian,,8th grade or less,
Participant 1174,online,35.0,A woman,White / Caucasian,83634.0,"Some college, no degree","$25,000 to $49,999"
Participant 1175,online,44.0,A man,White / Caucasian,83712.0,"Some college, no degree","$75,000 to $99,999"
Participant 1176,online,33.0,A woman,White / Caucasian,82834.0,Associates degree,"$50,000 to $74,999"
Participant 1177,online,28.0,A woman,Asian / Pacific Islander,83706.0,"Some college, no degree","$25,000 to $49,999"
Participant 1178,online,45.0,A woman,White / Caucasian,83702.0,Associates degree,"$50,000 to $74,999"
Participant 1179,online,21.0,A man,White / Caucasian,83709.0,"Some high school, no diploma","$100,000 or more"
Participant 118,in_person,60.0,A man,White / Caucasian,83702.0,Bachelor’s degree,"$100,000 or more"
Participant 118,online,,,,,,
Participant 1180,online,48.0,A man,White / Caucasian,83605.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1181,online,42.0,A man,White / Caucasian,83076.0,"Some college, no degree","$100,000 or more"
Participant 1182,online,49.0,A woman,Hispanic or Latino,83703.0,Associates degree,"$100,000 or more"
Participant 1183,online,,,,83709.0,Associates degree,"$100,000 or more"
Participant 1184,online,22.0,A woman,White / Caucasian,83706.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 1185,online,19.0,A man,White / Caucasian,83713.0,8th grade or less,"$100,000 or more"
Participant 1186,online,22.0,A man,White / Caucasian,,"Some high school, no diploma","$25,000 to $49,999"
Participant 1187,online,67.0,A woman,White / Caucasian,83703.0,Associates degree,"$75,000 to $99,999"
Participant 1188,online,69.0,A woman,White / Caucasian,83702.0,Associates degree,"$25,000 to $49,999"
Participant 1189,online,33.0,A man,White / Caucasian,83686.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 119,in_person,60.0,A woman,White / Caucasian,83702.0,Bachelor’s degree,"$100,000 or more"
Participant 119,online,31.0,A woman,White / Caucasian,83716.0,"Some college, no degree","$100,000 or more"
Participant 1190,online,19.0,A man,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
Participant 1191,online,37.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$75,000 to $99,999"
Participant 1192,online,39.0,A woman,Asian / Pacific Islander,83706.0,"Some college, no degree","$50,000 to $74,999"
Participant 1193,online,26.0,A woman,Hispanic or Latino,83716.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1194,online,44.0,A man,White / Caucasian,83709.0,Associates degree,"$50,000 to $74,999"
Participant 1195,online,53.0,A woman,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1196,online,54.0,A woman,White / Caucasian,83725.0,"Some college, no degree","$25,000 to $49,999"
Participant 1197,online,18.0,A man,White / Caucasian,83703.0,8th grade or less,"$50,000 to $74,999"
Participant 1198,online,37.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$25,000 to $49,999"
Participant 1199,online,,,,,,
Participant 12,in_person,27.0,A man,White / Caucasian,83705.0,"High school graduate, diploma or GED","$25,000 or less"
Participant 12,online,28.0,A woman,White / Caucasian,83702.0,"Some college, no degree","$75,000 to $99,999"
Participant 120,in_person,,A man,,83713.0,"Some college, no degree","$25,000 to $49,999"
Participant 120,online,51.0,A woman,White / Caucasian,83702.0,Associates degree,"$75,000 to $99,999"
Participant 1200,online,67.0,A man,White / Caucasian,83704.0,"High school graduate, diploma or GED","$25,000 to $49,999"
Participant 1201,online,30.0,A woman,White / Caucasian,83706.0,"Some college, no degree","$50,000 to $74,999"
Participant 1202,online,20.0,A woman,White / Caucasian,83647.0,8th grade or less,"$25,000 or less"
Participant 1203,online,65.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$50,000 to $74,999"
Participant 1204,online,21.0,A woman,White / Caucasian,83709.0,"Some high school, no diploma","$25,000 or less"
Participant 1205,online,38.0,A man,Asian / Pacific Islander,83642.0,Associates degree,"$100,000 or more"
Participant 1206,online,25.0,A woman,White / Caucasian,83705.0,"Some college, no degree","$25,000 to $49,999"
Participant 1207,online,51.0,A woman,White / Caucasian,83709.0,"Some college, no degree","$25,000 to $49,999"
Participant 1208,online,29.0,A man,White / Caucasian,83702.0,"Some high school, no diploma","$25,000 or less"
Participant 1209,online,,,,,,
Participant 121,in_person,44.0,A woman,White / Caucasian,83705.0,Bachelor’s degree,"$50,000 to $74,999"
Participant 121,online,36.0,A man,Asian / Pacific Islander,83642.0,Associates degree,"$100,000 or more"
Participant 1210,online,21.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$100,000 or more"
Participant 1211,online,21.0,A woman,White / Caucasian,83706.0,8th grade or less,"$25,000 to $49,999"
Participant 1212,online,21.0,A woman,White / Caucasian,83703.0,"Some high school, no diploma","$50,000 to $74,999"
Participant 1213,online,19.0,A woman,White / Caucasian,83706.0,8th grade or less,"$50,000 to $74,999"
Participant 1214,online,22.0,A woman,White / Caucasian,83646.0,"Some high school, no diploma",
Participant 1215,online,18.0,A woman,White / Caucasian,83703.0,8th grade or less,"$75,000 to $99,999"
Participant 1216,online,26.0,A man,,83714.0,"Some high school, no diploma","$25,000 or less"
Participant 1217,online,22.0,A woman,Hispanic or Latino,83703.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1218,online,21.0,A man,White / Caucasian,83705.0,"Some high school, no diploma","$100,000 or more"
Participant 1219,online,34.0,A woman,White / Caucasian,83712.0,Associates degree,"$25,000 or less"
Participant 122,in_person,60.0,A woman,White / Caucasian,83712.0,Master’s degree,"$100,000 or more"
Participant 122,online,18.0,A man,White / Caucasian,83642.0,8th grade or less,"$25,000 to $49,999"
Participant 1220,online,49.0,A man,White / Caucasian,83706.0,"High school graduate, diploma or GED","$100,000 or more"
Participant 1221,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$25,000 to $49,999"
Participant 1222,online,56.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$75,000 to $99,999"
Participant 1223,online,48.0,A woman,,83702.0,"Some college, no degree",
Participant 1224,online,20.0,A woman,White / Caucasian,83706.0,"Some high school, no diploma","$25,000 or less"
Participant 1225,online,21.0,A woman,White / Caucasian,83646.0,8th grade or less,"$25,000 to $49,999"
Participant 1226,online,50.0,A man,White / Caucasian,83702.0,Associates degree,"$100,000 or more"
Participant 1227,online,25.0,A woman,White / Caucasian,83712.0,"Some high school, no diploma","$25,000 to $49,999"
Participant 1228,online,21.0,A woman,White / Caucasian,83703.0,"Some high school, no diploma","$50,000 to $74,999"
Participant 1229,online,22.0,A woman,White / Caucasian,83705.0,"Some high school, no diploma","$25,000 or less"
Participant 123,in_person,30.0,A man,White / Caucasian,83713.0,"Some college, no degree","$25,000 or less"
Participant 123,online,61.0,A man,White / Caucasian,83616.0,Associates degree,"$100,000 or more"
Participant 1230,online,,,,,,
Participant 1231,online,18.0,A woman,White / Caucasian,83706.0,8th grade or less,"$100,000 or more"
