participant_id,survey_type,outside_activity_engagement,outside_activity_frequency,days_checked_for_smoke_info,reduced_outdoor_activities_due_to_smoke,consecutive_days_reduced_outdoor_activity,min_aqi_reduce_activity,min_aqi_eliminate_activity,motivating_info_to_reduce_outdoor_activity
Participant 1020,online,Yes – Please list the activities __________________,A few times per week,,Yes,6 days and more,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1021,online,,,,,,,,
Participant 1022,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,4 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1023,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1024,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1025,online,Yes – Please list the activities __________________,A few times per week,2 days,No,1 to 2 days,Maroon – Hazardous,Maroon – Hazardous,
Participant 1026,online,Yes – Please list the activities __________________,A few times per week,3 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1027,online,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1028,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1029,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 103,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 103,online,No (skip to question 11),,6-7 days,No,5 days,Yellow – Moderate,Yellow – Moderate,Air quality information
Participant 1030,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1031,online,Yes – Please list the activities __________________,Daily,3 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1032,online,Yes – Please list the activities __________________,Daily,1 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Air quality information
Participant 1033,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1034,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",6-7 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1035,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1036,online,,,,,,,,
Participant 1037,online,Yes – Please list the activities __________________,Once per week,3 days,Yes,4 days,Purple – Very Unhealthy,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1038,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1039,online,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 104,in_person,Yes – Please list the activities __________________,Daily,6-7 days,No,0 days,Maroon – Hazardous,,
Participant 104,online,No (skip to question 11),,3 days,Yes,4 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1040,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Advice from your doctor
Participant 1041,online,No (skip to question 11),,6-7 days,Yes,3 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1042,online,Yes – Please list the activities __________________,A few times per week,2 days,No,1 to 2 days,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 1043,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1044,online,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,
Participant 1045,online,Yes – Please list the activities __________________,Once per week,,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1046,online,Yes – Please list the activities __________________,Daily,3 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1047,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1048,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",6-7 days,Yes,3 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 1049,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Air quality information
Participant 105,in_person,Yes – Please list the activities __________________,Daily,1 days,Yes,1 to 2 days,,Red – Unhealthy,Air quality information
Participant 105,online,Yes – Please list the activities __________________,Once per week,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1050,online,Yes – Please list the activities __________________,Daily,2 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,
Participant 1051,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1052,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1053,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1054,online,No (skip to question 11),,,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1055,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1056,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Red – Unhealthy,Maroon – Hazardous,Air quality information
Participant 1057,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1058,online,Yes – Please list the activities __________________,Daily,,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 1059,online,Yes – Please list the activities __________________,Daily,,No,1 to 2 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 106,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 106,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 1060,online,Yes – Please list the activities __________________,Daily,0 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1061,online,Yes – Please list the activities __________________,A few times per week,,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1062,online,No (skip to question 11),,0 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1063,online,Yes – Please list the activities __________________,Daily,6-7 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1064,online,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1065,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1066,online,Yes – Please list the activities __________________,Daily,,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1067,online,Yes – Please list the activities __________________,Once per week,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1068,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1069,online,Yes – Please list the activities __________________,Once per week,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 107,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Advice from your doctor
Participant 107,online,No (skip to question 11),,3 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1070,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1071,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1072,online,Yes – Please list the activities __________________,Daily,1 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1073,online,Yes – Please list the activities __________________,Once per week,1 days,Yes,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Smoke-related health problem statistics
Participant 1074,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1075,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,1 days,No,0 days,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 1076,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1077,online,Yes – Please list the activities __________________,Daily,3 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1078,online,Yes – Please list the activities __________________,Daily,3 days,Yes,1 to 2 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 1079,online,Yes – Please list the activities __________________,Daily,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 108,in_person,No (skip to question 11),,0 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,
Participant 108,online,Yes – Please list the activities __________________,Daily,0 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1080,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1081,online,No (skip to question 11),,0 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1082,online,Yes – Please list the activities __________________,Once per week,0 days,No,0 days,Purple – Very Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1083,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1084,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Advice from your doctor
Participant 1085,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1086,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1087,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1088,online,Yes – Please list the activities __________________,Once per week,3 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Air quality information
Participant 1089,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 109,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",,,,,,
Participant 109,online,Yes – Please list the activities __________________,Once per week,1 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1090,online,Yes – Please list the activities __________________,A few times per week,2 days,No,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1091,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1092,online,Yes – Please list the activities __________________,Once per week,4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1093,online,Yes – Please list the activities __________________,Daily,3 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1094,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1095,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,
Participant 1096,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1097,online,Yes – Please list the activities __________________,Once per week,1 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 1098,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1099,online,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 11,in_person,Yes – Please list the activities __________________,Daily,0 days,No,1 to 2 days,Green – Good,Green – Good,Wildfire information
Participant 11,online,Yes – Please list the activities __________________,A few times per week,4-5 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Air quality information
Participant 110,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",4-5 days,Yes,5 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 110,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1100,online,Yes – Please list the activities __________________,A few times per week,,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1101,online,Yes – Please list the activities __________________,Daily,3 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1102,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,0 days,No,0 days,Red – Unhealthy,Maroon – Hazardous,Air quality information
Participant 1103,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1104,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1105,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1106,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",,No,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Advice from family and friends
Participant 1107,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Advice from your doctor
Participant 1108,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",2 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1109,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 111,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 111,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1110,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1111,online,Yes – Please list the activities __________________,Daily,1 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1112,online,Yes – Please list the activities __________________,Daily,3 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1113,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1114,online,Yes – Please list the activities __________________,Daily,1 days,Yes,3 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 1115,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1116,online,Yes – Please list the activities __________________,Daily,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1117,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,
Participant 1118,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,5 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1119,online,Yes – Please list the activities __________________,A few times per week,,No,1 to 2 days,I am not familiar with this rating,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 112,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",6-7 days,Yes,6 days and more,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 112,online,Yes – Please list the activities __________________,Daily,1 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1120,online,Yes – Please list the activities __________________,Once per week,1 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1121,online,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1122,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",1 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1123,online,Yes – Please list the activities __________________,Once per week,1 days,Yes,6 days and more,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1124,online,Yes – Please list the activities __________________,Daily,3 days,Yes,6 days and more,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1125,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",0 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1126,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,3 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 1127,online,Yes – Please list the activities __________________,Once per week,3 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,
Participant 1128,online,Yes – Please list the activities __________________,A few times per week,,Yes,1 to 2 days,I am not familiar with this rating,I am not familiar with this rating,Smoke-related health problem statistics
Participant 1129,online,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Smoke-related health problem statistics
Participant 113,in_person,Yes – Please list the activities __________________,Daily,3 days,Yes,6 days and more,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 113,online,Yes – Please list the activities __________________,Daily,0 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1130,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",1 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Yellow – Moderate,Smoke-related health problem statistics
Participant 1131,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,6 days and more,Maroon – Hazardous,Red – Unhealthy,Air quality information
Participant 1132,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,6 days and more,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 1133,online,No (skip to question 11),,0 days,No,0 days,Red – Unhealthy,Maroon – Hazardous,Air quality information
Participant 1134,online,Yes – Please list the activities __________________,A few times per week,,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,
Participant 1135,online,Yes – Please list the activities __________________,Once per week,6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1136,online,Yes – Please list the activities __________________,Once per week,3 days,Yes,1 to 2 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1137,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1138,online,Yes – Please list the activities __________________,Daily,2 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1139,online,,,,,,,,
Participant 114,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,
Participant 114,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1140,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1141,online,Yes – Please list the activities __________________,Once per week,,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1142,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
