participant_id,reduced_outdoor_activities_due_to_smoke,outside_activity_frequency,min_aqi_reduce_activity,min_aqi_eliminate_activity
Participant 1087,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1088,No,~1 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 1089,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 109,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1090,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1091,No,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1092,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1093,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1094,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1095,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1096,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1097,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1098,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1099,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 11,No,Daily,"0-50:
Good","0-50:
Good"
Participant 11,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 110,Yes,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 110,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1100,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1101,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1102,No,~1-3 per summer,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1103,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1104,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1105,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1106,No,~1-3 per month,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1107,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1108,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1109,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 111,No,~1-3 per summer,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1110,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1111,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1112,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1113,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1114,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1115,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1116,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1117,No,~1-3 per summer,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1118,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1119,No,~3 per week,I am not familiar with this rating,"101-150:
Unhealthy for
 Sensitive Grps."
Participant 112,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 112,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1120,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1121,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 1122,No,~1-3 per month,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1123,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1124,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1125,No,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1126,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1127,No,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1128,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1129,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 113,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 113,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1130,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","51-100:
Moderate"
Participant 1131,Yes,~3 per week,"301+:
Hazardous","151-200:
Unhealthy"
Participant 1132,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1134,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1135,Yes,~1 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1136,Yes,~1 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1137,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1138,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 114,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 114,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1140,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1141,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1142,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1143,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1144,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1145,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1146,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1147,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1148,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1149,Yes,~3 per week,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 115,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 115,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1152,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1153,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1154,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 1155,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 1156,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1157,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1158,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1159,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 116,No,~1-3 per month,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 116,Yes,~1 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1161,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1162,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1163,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1164,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1165,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1166,Yes,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 1167,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1168,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1169,Yes,~1 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 117,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1170,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1171,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 1172,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1174,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1175,Yes,~1-3 per summer,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1176,No,~1-3 per summer,I am not familiar with this rating,I am not familiar with this rating
Participant 1177,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1178,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1179,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 118,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1180,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 1181,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1182,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1183,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1184,Yes,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 1185,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1186,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1187,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1188,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 119,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1190,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1191,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1194,Yes,~1-3 per summer,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1195,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1196,Yes,~1-3 per summer,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1197,Yes,~1 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1198,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 12,No,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 12,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 120,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1201,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1202,No,~1-3 per summer,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1203,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1204,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1205,No,~1-3 per month,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1206,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1208,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 121,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 121,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1210,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1211,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1212,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1213,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1215,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1217,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1218,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 1219,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 122,Yes,Daily,"51-100:
Moderate","51-100:
Moderate"
Participant 122,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1220,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1221,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 1222,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1223,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1224,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1225,Yes,~1 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 1226,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1227,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1228,No,~1-3 per month,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1229,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 123,No,~1-3 per month,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1231,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 1232,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1233,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1234,Yes,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 1235,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1236,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1237,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1238,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 124,Yes,~1 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 124,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1240,No,~1-3 per summer,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1241,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1242,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1243,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1245,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1246,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1247,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1248,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1249,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 125,No,~1 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1250,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1251,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1252,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1254,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1255,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1256,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","51-100:
Moderate"
Participant 1257,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1258,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1259,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 126,No,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 126,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1260,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1261,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1262,Yes,~1 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1263,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1264,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1267,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1268,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1269,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
